Origin City,Origin State,Destination,Hours
Decatur,Alabama,Boston,49.1333
Decatur,Alabama,New York,39.8833
Decatur,Alabama,Philadelphia,36.7167
Decatur,Alabama,Baltimore,32.8833
Decatur,Alabama,Washington,30.3833
Decatur,Alabama,Pittsburgh,29.9167
Decatur,Alabama,Chicago,29.9167
Decatur,Alabama,Charleston,30.6667
Decatur,Alabama,Cincinnati,16.3333
Decatur,Alabama,Saint Louis,28.1667
Decatur,Alabama,Omaha,44.5
Decatur,Alabama,San Francisco,142.0
Mobile,Alabama,Boston,65.5167
Mobile,Alabama,New York,52.4167
Mobile,Alabama,Philadelphia,50.0
Mobile,Alabama,Baltimore,47.3333
Mobile,Alabama,Washington,44.1667
Mobile,Alabama,Pittsburgh,44.5
Mobile,Alabama,Chicago,44.4167
Mobile,Alabama,Charleston,38.9167
Mobile,Alabama,Cincinnati,30.9167
Mobile,Alabama,Saint Louis,45.25
Mobile,Alabama,Omaha,59.75
Mobile,Alabama,San Francisco,156.75
Montgomery,Alabama,Boston,57.3333
Montgomery,Alabama,New York,44.25
Montgomery,Alabama,Philadelphia,41.8333
Montgomery,Alabama,Baltimore,39.1667
Montgomery,Alabama,Washington,36.0
Montgomery,Alabama,Pittsburgh,37.0833
Montgomery,Alabama,Chicago,40.75
Montgomery,Alabama,Charleston,32.0
Montgomery,Alabama,Cincinnati,23.5
Montgomery,Alabama,Saint Louis,26.8333
Montgomery,Alabama,Omaha,52.8333
Montgomery,Alabama,San Francisco,150.3333
Tucson,Arizona,Boston,151.5833
Tucson,Arizona,New York,147.5
Tucson,Arizona,Philadelphia,144.5
Tucson,Arizona,Baltimore,144.4167
Tucson,Arizona,Washington,145.75
Tucson,Arizona,Pittsburgh,132.5
Tucson,Arizona,Chicago,119.8333
Tucson,Arizona,Charleston,190.3333
Tucson,Arizona,Cincinnati,119.9167
Tucson,Arizona,Saint Louis,106.7833
Tucson,Arizona,Omaha,75.0833
Tucson,Arizona,San Francisco,43.5833
Fort Smith,Arkansas,Boston,74.25
Fort Smith,Arkansas,New York,64.2
Fort Smith,Arkansas,Philadelphia,61.8667
Fort Smith,Arkansas,Baltimore,57.95
Fort Smith,Arkansas,Washington,56.75
Fort Smith,Arkansas,Pittsburgh,50.7667
Fort Smith,Arkansas,Chicago,37.8
Fort Smith,Arkansas,Charleston,57.5333
Fort Smith,Arkansas,Cincinnati,37.5667
Fort Smith,Arkansas,Saint Louis,26.6167
Fort Smith,Arkansas,Omaha,48.6667
Fort Smith,Arkansas,San Francisco,141.35
Little Rock,Arkansas,Boston,63.5833
Little Rock,Arkansas,New York,54.2833
Little Rock,Arkansas,Philadelphia,51.95
Little Rock,Arkansas,Baltimore,48.0333
Little Rock,Arkansas,Washington,46.8333
Little Rock,Arkansas,Pittsburgh,40.85
Little Rock,Arkansas,Chicago,27.8833
Little Rock,Arkansas,Charleston,46.2833
Little Rock,Arkansas,Cincinnati,27.65
Little Rock,Arkansas,Saint Louis,16.7
Little Rock,Arkansas,Omaha,38.0
Little Rock,Arkansas,San Francisco,131.4333
Los Angeles,California,Boston,173.1667
Los Angeles,California,New York,169.0833
Los Angeles,California,Philadelphia,166.0833
Los Angeles,California,Baltimore,166.0
Los Angeles,California,Washington,167.3333
Los Angeles,California,Pittsburgh,154.0833
Los Angeles,California,Chicago,141.4167
Los Angeles,California,Charleston,190.3333
Los Angeles,California,Cincinnati,141.5
Los Angeles,California,Saint Louis,128.3667
Los Angeles,California,Omaha,96.6667
Los Angeles,California,San Francisco,21.3333
Sacramento,California,Boston,157.1667
