origin-city,origin-state,destination-city,destination-state,hours
Decatur,Alabama,Boston,Massachusetts,49.05
Decatur,Alabama,New York,New York,39.88
Decatur,Alabama,Philadelphia,Pennsylvania,36.72
Decatur,Alabama,Baltimore,Maryland,32.88
Decatur,Alabama,Washington,District of Columbia,30.38
Decatur,Alabama,Pittsburgh,Pennsylvania,29.92
Decatur,Alabama,Chicago,Illinois,29.92
Decatur,Alabama,Charleston,South Carolina,30.82
Decatur,Alabama,Cincinnati,Ohio,16.33
Decatur,Alabama,Saint Louis,Missouri,28.17
Decatur,Alabama,Omaha,Nebraska,44.50
Decatur,Alabama,San Francisco,California,142.00
Mobile,Alabama,Boston,Massachusetts,65.52
Mobile,Alabama,New York,New York,52.42
Mobile,Alabama,Philadelphia,Pennsylvania,50.00
Mobile,Alabama,Baltimore,Maryland,47.33
Mobile,Alabama,Washington,District of Columbia,44.17
Mobile,Alabama,Pittsburgh,Pennsylvania,44.50
Mobile,Alabama,Chicago,Illinois,44.42
Mobile,Alabama,Charleston,South Carolina,38.92
Mobile,Alabama,Cincinnati,Ohio,30.92
Mobile,Alabama,Saint Louis,Missouri,45.25
Mobile,Alabama,Omaha,Nebraska,59.75
Mobile,Alabama,San Francisco,California,156.75
Montgomery,Alabama,Boston,Massachusetts,57.33
Montgomery,Alabama,New York,New York,44.25
Montgomery,Alabama,Philadelphia,Pennsylvania,41.83
Montgomery,Alabama,Baltimore,Maryland,39.17
Montgomery,Alabama,Washington,District of Columbia,36.00
Montgomery,Alabama,Pittsburgh,Pennsylvania,37.08
Montgomery,Alabama,Chicago,Illinois,40.75
Montgomery,Alabama,Charleston,South Carolina,32.00
Montgomery,Alabama,Cincinnati,Ohio,23.50
Montgomery,Alabama,Saint Louis,Missouri,26.83
Montgomery,Alabama,Omaha,Nebraska,52.83
Montgomery,Alabama,San Francisco,California,150.33
Prescott,Arizona,Boston,Massachusetts,156.18
Prescott,Arizona,New York,New York,151.18
Prescott,Arizona,Philadelphia,Pennsylvania,146.55
Prescott,Arizona,Baltimore,Maryland,149.13
Prescott,Arizona,Washington,District of Columbia,148.97
