origin_city,origin_state,destination_city,destination_state,hours
Decatur,Alabama,Boston,Massachusetts,42.50
Decatur,Alabama,New York,New York,35.33
Decatur,Alabama,Philadelphia,Pennsylvania,31.00
Decatur,Alabama,Baltimore,Maryland,29.85
Decatur,Alabama,Washington,District of Columbia,28.80
Decatur,Alabama,Pittsburgh,Pennsylvania,40.92
Decatur,Alabama,Chicago,Illinois,25.00
Decatur,Alabama,Charleston,South Carolina,30.75
Decatur,Alabama,Cincinnati,Ohio,16.00
Decatur,Alabama,St. Louis,Missouri,17.00
Decatur,Alabama,Omaha,Nebraska,35.50
Decatur,Alabama,San Francisco,California,108.75
Mobile,Alabama,Boston,Massachusetts,48.00
Mobile,Alabama,New York,New York,40.50
Mobile,Alabama,Philadelphia,Pennsylvania,38.00
Mobile,Alabama,Baltimore,Maryland,36.00
Mobile,Alabama,Washington,District of Columbia,34.00
Mobile,Alabama,Pittsburgh,Pennsylvania,42.00
Mobile,Alabama,Chicago,Illinois,40.00
Mobile,Alabama,Charleston,South Carolina,28.58
Mobile,Alabama,Cincinnati,Ohio,26.67
Mobile,Alabama,St. Louis,Missouri,24.42
Mobile,Alabama,Omaha,Nebraska,57.50
Mobile,Alabama,San Francisco,California,128.25
Montgomery,Alabama,Boston,Massachusetts,40.00
Montgomery,Alabama,New York,New York,33.50
Montgomery,Alabama,Philadelphia,Pennsylvania,31.00
Montgomery,Alabama,Baltimore,Maryland,32.00
Montgomery,Alabama,Washington,District of Columbia,30.00
Montgomery,Alabama,Pittsburgh,Pennsylvania,32.00
Montgomery,Alabama,Chicago,Illinois,34.00
Montgomery,Alabama,Charleston,South Carolina,21.83
Montgomery,Alabama,Cincinnati,Ohio,22.67
Montgomery,Alabama,St. Louis,Missouri,25.42
Montgomery,Alabama,Omaha,Nebraska,45.50
Montgomery,Alabama,San Francisco,California,108.25
Prescott,Arizona,Boston,Massachusetts,127.83
Prescott,Arizona,New York,New York,120.00
Prescott,Arizona,Philadelphia,Pennsylvania,118.00
Prescott,Arizona,Baltimore,Maryland,116.50
Prescott,Arizona,Washington,District of Columbia,115.33
Prescott,Arizona,Pittsburgh,Pennsylvania,97.00
Prescott,Arizona,Chicago,Illinois,98.92
Prescott,Arizona,Charleston,South Carolina,120.75
Prescott,Arizona,Cincinnati,Ohio,102.83
Prescott,Arizona,St. Louis,Missouri,85.50
Prescott,Arizona,Omaha,Nebraska,89.00
Prescott,Arizona,San Francisco,California,40.75
Tucson,Arizona,Boston,Massachusetts,120.83
Tucson,Arizona,New York,New York,111.83
Tucson,Arizona,Philadelphia,Pennsylvania,108.67
Tucson,Arizona,Baltimore,Maryland,107.92
Tucson,Arizona,Washington,District of Columbia,106.92
Tucson,Arizona,Pittsburgh,Pennsylvania,108.50
Tucson,Arizona,Chicago,Illinois,82.67
Tucson,Arizona,Charleston,South Carolina,115.75
Tucson,Arizona,Cincinnati,Ohio,101.50
Tucson,Arizona,St. Louis,Missouri,90.67
Tucson,Arizona,Omaha,Nebraska,78.50
Tucson,Arizona,San Francisco,California,42.25
Fort Smith,Arkansas,Boston,Massachusetts,66.83
Fort Smith,Arkansas,New York,New York,58.00
Fort Smith,Arkansas,Philadelphia,Pennsylvania,55.00
Fort Smith,Arkansas,Baltimore,Maryland,57.00
Fort Smith,Arkansas,Washington,District of Columbia,56.00
Fort Smith,Arkansas,Pittsburgh,Pennsylvania,41.83
Fort Smith,Arkansas,Chicago,Illinois,37.50
Fort Smith,Arkansas,Charleston,South Carolina,78.75
Fort Smith,Arkansas,Cincinnati,Ohio,36.50
Fort Smith,Arkansas,St. Louis,Missouri,20.50
Fort Smith,Arkansas,Omaha,Nebraska,29.50
Fort Smith,Arkansas,San Francisco,California,105.25
Helena,Arkansas,Boston,Massachusetts,71.83
Helena,Arkansas,New York,New York,64.00
Helena,Arkansas,Philadelphia,Pennsylvania,62.00
Helena,Arkansas,Baltimore,Maryland,63.50
Helena,Arkansas,Washington,District of Columbia,62.33
Helena,Arkansas,Pittsburgh,Pennsylvania,50.00
Helena,Arkansas,Chicago,Illinois,39.25
Helena,Arkansas,Charleston,South Carolina,76.75
Helena,Arkansas,Cincinnati,Ohio,38.83
Helena,Arkansas,St. Louis,Missouri,28.00
