origin-city,origin-state,destination,hours
Boston,Mass.,Decatur, Alabama,40.50
New York,N.Y.,Decatur, Alabama,33.50
Philadelphia,Pa.,Decatur, Alabama,29.00
Baltimore,Md.,Decatur, Alabama,27.42
Washington,D.C.,Decatur, Alabama,26.50
Pittsburg,Pa.,Decatur, Alabama,33.67
Chicago,Ill.,Decatur, Alabama,24.00
Charleston,S.C.,Decatur, Alabama,30.08
Cincinnati,Ohio,Decatur, Alabama,20.00
Saint Louis,Mo.,Decatur, Alabama,17.00
Omaha,Nebr.,Decatur, Alabama,32.50
San Francisco,Cal.,Decatur, Alabama,91.58
Boston,Mass.,Mobile, Alabama,49.00
New York,N.Y.,Mobile, Alabama,35.50
Philadelphia,Pa.,Mobile, Alabama,33.00
Baltimore,Md.,Mobile, Alabama,32.00
Washington,D.C.,Mobile, Alabama,31.00
Pittsburg,Pa.,Mobile, Alabama,38.00
Chicago,Ill.,Mobile, Alabama,40.00
Charleston,S.C.,Mobile, Alabama,28.58
Cincinnati,Ohio,Mobile, Alabama,25.67
Saint Louis,Mo.,Mobile, Alabama,29.42
Omaha,Nebr.,Mobile, Alabama,47.50
San Francisco,Cal.,Mobile, Alabama,105.75
Boston,Mass.,Montgomery, Alabama,39.00
New York,N.Y.,Montgomery, Alabama,30.50
Philadelphia,Pa.,Montgomery, Alabama,28.00
Baltimore,Md.,Montgomery, Alabama,26.00
Washington,D.C.,Montgomery, Alabama,24.00
Pittsburg,Pa.,Montgomery, Alabama,35.00
Chicago,Ill.,Montgomery, Alabama,31.00
Charleston,S.C.,Montgomery, Alabama,21.83
Cincinnati,Ohio,Montgomery, Alabama,22.67
Saint Louis,Mo.,Montgomery, Alabama,24.00
Omaha,Nebr.,Montgomery, Alabama,41.50
San Francisco,Cal.,Montgomery, Alabama,95.75
Boston,Mass.,Prescott, Arizona Territory,102.83
New York,N.Y.,Prescott, Arizona Territory,94.00
Philadelphia,Pa.,Prescott, Arizona Territory,94.00
Baltimore,Md.,Prescott, Arizona Territory,94.50
Washington,D.C.,Prescott, Arizona Territory,95.33
Pittsburg,Pa.,Prescott, Arizona Territory,87.00
Chicago,Ill.,Prescott, Arizona Territory,85.92
Charleston,S.C.,Prescott, Arizona Territory,120.75
Cincinnati,Ohio,Prescott, Arizona Territory,84.83
Saint Louis,Mo.,Prescott, Arizona Territory,65.50
Omaha,Nebr.,Prescott, Arizona Territory,70.00
San Francisco,Cal.,Prescott, Arizona Territory,40.58
Boston,Mass.,Tucson, Arizona Territory,108.83
New York,N.Y.,Tucson, Arizona Territory,100.83
Philadelphia,Pa.,Tucson, Arizona Territory,100.67
Baltimore,Md.,Tucson, Arizona Territory,100.92
Washington,D.C.,Tucson, Arizona Territory,101.92
Pittsburg,Pa.,Tucson, Arizona Territory,90.65
Chicago,Ill.,Tucson, Arizona Territory,89.67
Charleston,S.C.,Tucson, Arizona Territory,115.00
Cincinnati,Ohio,Tucson, Arizona Territory,90.50
Saint Louis,Mo.,Tucson, Arizona Territory,70.67
Omaha,Nebr.,Tucson, Arizona Territory,76.50
San Francisco,Cal.,Tucson, Arizona Territory,42.25
Boston,Mass.,Fort Smith, Arkansas,66.83
New York,N.Y.,Fort Smith, Arkansas,58.00
Philadelphia,Pa.,Fort Smith, Arkansas,55.00
Baltimore,Md.,Fort Smith, Arkansas,57.00
Washington,D.C.,Fort Smith, Arkansas,56.00
Pittsburg,Pa.,Fort Smith, Arkansas,41.83
Chicago,Ill.,Fort Smith, Arkansas,37.50
Charleston,S.C.,Fort Smith, Arkansas,78.75
Cincinnati,Ohio,Fort Smith, Arkansas,36.50
Saint Louis,Mo.,Fort Smith, Arkansas,20.50
Omaha,Nebr.,Fort Smith, Arkansas,29.50
San Francisco,Cal.,Fort Smith, Arkansas,88.75
Boston,Mass.,Helena, Arkansas,71.83
New York,N.Y.,Helena, Arkansas,64.00
Philadelphia,Pa.,Helena, Arkansas,62.00
Baltimore,Md.,Helena, Arkansas,63.50
Washington,D.C.,Helena, Arkansas,62.33
Pittsburg,Pa.,Helena, Arkansas,50.00
Chicago,Ill.,Helena, Arkansas,39.25
Charleston,S.C.,Helena, Arkansas,76.75
Cincinnati,Ohio,Helena, Arkansas,38.83
Saint Louis,Mo.,Helena, Arkansas,28.00
Omaha,Nebr.,Helena, Arkansas,38.00
San Francisco,Cal.,Helena, Arkansas,96.75
Boston,Mass.,Hot Springs, Arkansas,53.83
New York,N.Y.,Hot Springs, Arkansas,55.00
Philadelphia,Pa.,Hot Springs, Arkansas,52.00
Baltimore,Md.,Hot Springs, Arkansas,54.00
Washington,D.C.,Hot Springs, Arkansas,53.00
Pittsburg,Pa.,Hot Springs, Arkansas,40.83
Chicago,Ill.,Hot Springs, Arkansas,34.50
Charleston,S.C.,Hot Springs, Arkansas,58.75
Cincinnati,Ohio,Hot Springs, Arkansas,33.50
Saint Louis,Mo.,Hot Springs, Arkansas,21.50
Omaha,Nebr.,Hot Springs, Arkansas,42.50
San Francisco,Cal.,Hot Springs, Arkansas,90.75
Boston,Mass.,Little Rock, Arkansas,50.83
New York,N.Y.,Little Rock, Arkansas,45.00
Philadelphia,Pa.,Little Rock, Arkansas,43.00
Baltimore,Md.,Little Rock, Arkansas,41.00
Washington,D.C.,Little Rock, Arkansas,40.00
Pittsburg,Pa.,Little Rock, Arkansas,32.83
Chicago,Ill.,Little Rock, Arkansas,24.50
Charleston,S.C.,Little Rock, Arkansas,51.75
Cincinnati,Ohio,Little Rock, Arkansas,25.50
Saint Louis,Mo.,Little Rock, Arkansas,12.50
Omaha,Nebr.,Little Rock, Arkansas,36.50
San Francisco,Cal.,Little Rock, Arkansas,94.58
Boston,Mass.,Los Angeles, California,115.00
New York,N.Y.,Los Angeles, California,114.00
Philadelphia,Pa.,Los Angeles, California,112.00
Baltimore,Md.,Los Angeles, California,111.00
Washington,D.C.,Los Angeles, California,112.50
Pittsburg,Pa.,Los Angeles, California,96.50
Chicago,Ill.,Los Angeles, California,84.50
Charleston,S.C.,Los Angeles, California,119.50
Cincinnati,Ohio,Los Angeles, California,95.83
Saint Louis,Mo.,Los Angeles, California,83.50
Omaha,Nebr.,Los Angeles, California,80.50
San Francisco,Cal.,Los Angeles, California,20.08
Boston,Mass.,Sacramento, California,105.50
New York,N.Y.,Sacramento, California,103.50
Philadelphia,Pa.,Sacramento, California,101.67
Baltimore,Md.,Sacramento, California,100.00
Washington,D.C.,Sacramento, California,101.00
Pittsburg,Pa.,Sacramento, California,104.83
Chicago,Ill.,Sacramento, California,77.00
Charleston,S.C.,Sacramento, California,120.00
Cincinnati,Ohio,Sacramento, California,101.50
Saint Louis,Mo.,Sacramento, California,100.00
Omaha,Nebr.,Sacramento, California,75.67
San Francisco,Cal.,Sacramento, California,3.17
Boston,Mass.,San Francisco, California,108.50
New York,N.Y.,San Francisco, California,106.00
Philadelphia,Pa.,San Francisco, California,104.67
Baltimore,Md.,San Francisco, California,103.00
Washington,D.C.,San Francisco, California,104.00
Pittsburg,Pa.,San Francisco, California,107.83
Chicago,Ill.,San Francisco, California,80.00
Charleston,S.C.,San Francisco, California,120.00
Cincinnati,Ohio,San Francisco, California,115.50
Saint Louis,Mo.,San Francisco, California,99.00
Omaha,Nebr.,San Francisco, California,70.67
Boston,Mass.,San Diego, California,120.00
New York,N.Y.,San Diego, California,117.00
Philadelphia,Pa.,San Diego, California,114.00
Baltimore,Md.,San Diego, California,114.00
Washington,D.C.,San Diego, California,116.00
Pittsburg,Pa.,San Diego, California,102.00
Chicago,Ill.,San Diego, California,90.83
Charleston,S.C.,San Diego, California,125.00
Cincinnati,Ohio,San Diego, California,103.00
Saint Louis,Mo.,San Diego, California,89.50
Omaha,Nebr.,San Diego, California,105.50
San Francisco,Cal.,San Diego, California,24.75
Boston,Mass.,Denver, Colorado,64.33
New York,N.Y.,Denver, Colorado,61.50
Philadelphia,Pa.,Denver, Colorado,61.00
Baltimore,Md.,Denver, Colorado,58.50
Washington,D.C.,Denver, Colorado,57.50
Pittsburg,Pa.,Denver, Colorado,47.83
Chicago,Ill.,Denver, Colorado,32.92
Charleston,S.C.,Denver, Colorado,65.00
Cincinnati,Ohio,Denver, Colorado,42.00
Saint Louis,Mo.,Denver, Colorado,32.00
Omaha,Nebr.,Denver, Colorado,18.50
San Francisco,Cal.,Denver, Colorado,62.75
Boston,Mass.,Pueblo, Colorado,71.33
New York,N.Y.,Pueblo, Colorado,70.50
Philadelphia,Pa.,Pueblo, Colorado,66.67
Baltimore,Md.,Pueblo, Colorado,63.50
Washington,D.C.,Pueblo, Colorado,62.50
Pittsburg,Pa.,Pueblo, Colorado,50.83
Chicago,Ill.,Pueblo, Colorado,37.42
Charleston,S.C.,Pueblo, Colorado,70.00
Cincinnati,Ohio,Pueblo, Colorado,48.00
Saint Louis,Mo.,Pueblo, Colorado,37.00
Omaha,Nebr.,Pueblo, Colorado,24.50
San Francisco,Cal.,Pueblo, Colorado,59.75
Boston,Mass.,Hartford, Connecticut,3.00
New York,N.Y.,Hartford, Connecticut,4.00
Philadelphia,Pa.,Hartford, Connecticut,7.33
Baltimore,Md.,Hartford, Connecticut,11.33
Washington,D.C.,Hartford, Connecticut,12.50
Pittsburg,Pa.,Hartford, Connecticut,18.00
Chicago,Ill.,Hartford, Connecticut,30.33
Charleston,S.C.,Hartford, Connecticut,30.50
Cincinnati,Ohio,Hartford, Connecticut,30.58
Saint Louis,Mo.,Hartford, Connecticut,34.33
Omaha,Nebr.,Hartford, Connecticut,47.58
San Francisco,Cal.,Hartford, Connecticut,99.75
Boston,Mass.,New Haven, Connecticut,4.00
New York,N.Y.,New Haven, Connecticut,2.00
Philadelphia,Pa.,New Haven, Connecticut,5.00
Baltimore,Md.,New Haven, Connecticut,9.33
Washington,D.C.,New Haven, Connecticut,10.50
Pittsburg,Pa.,New Haven, Connecticut,16.00
Chicago,Ill.,New Haven, Connecticut,30.33
