city,state,year,mean_h,cv,ew_ratio,cluster,typology
Prescott,Arizona,1892,102.7,0.2313,1.5245,2,Far West
Prescott,Arizona,1902,86.27,0.2349,1.5303,2,Far West
Tucson,Arizona,1882,126.82,0.3025,1.7842,2,Far West
Tucson,Arizona,1892,98.0,0.2223,1.5232,2,Far West
Tucson,Arizona,1902,90.7,0.2181,1.5005,2,Far West
Los Angeles,California,1882,142.95,0.3183,1.7742,2,Far West
Los Angeles,California,1892,102.58,0.2757,1.5878,2,Far West
Los Angeles,California,1902,95.41,0.2875,1.6978,2,Far West
Sacramento,California,1882,122.23,0.3525,1.8892,2,Far West
Sacramento,California,1892,99.35,0.3433,1.7632,2,Far West
Sacramento,California,1902,91.15,0.3313,1.646,2,Far West
San Diego,California,1892,107.65,0.2665,1.5514,2,Far West
San Diego,California,1902,101.8,0.262,1.5154,2,Far West
Deadwood,Dakota,1882,108.31,0.1685,1.2168,2,Far West
Boise,Idaho,1902,81.9,0.2052,1.5504,2,Far West
Boise City,Idaho,1892,109.97,0.2002,1.4682,2,Far West
Helena,Montana,1902,77.99,0.1883,1.4248,2,Far West
Carson City,Nevada,1882,112.88,0.299,1.7831,2,Far West
Carson City,Nevada,1892,97.93,0.3069,1.7873,2,Far West
Carson City,Nevada,1902,94.06,0.2986,1.7404,2,Far West
Elko,Nevada,1882,101.81,0.312,1.8599,2,Far West
Elko,Nevada,1892,83.65,0.281,1.7562,2,Far West
Elko,Nevada,1902,76.61,0.2755,1.7626,2,Far West
Albuquerque,New Mexico,1892,80.45,0.2081,1.4964,2,Far West
Las Cruces,New Mexico,1892,92.05,0.1818,1.3576,2,Far West
Las Cruces,New Mexico,1902,77.17,0.2388,1.6473,2,Far West
Mesilla,New Mexico,1882,85.02,0.3098,1.3417,2,Far West
Santa Fe,New Mexico,1882,81.67,0.22,1.5508,2,Far West
Santa Fe,New Mexico,1892,77.71,0.2168,1.4996,2,Far West
Portland,Oregon,1892,105.62,0.2542,1.6316,2,Far West
Portland,Oregon,1902,100.7,0.2388,1.5539,2,Far West
Salem,Oregon,1892,107.3,0.2586,1.636,2,Far West
Salem,Oregon,1902,102.46,0.2426,1.5584,2,Far West
Ogden City,Utah,1882,90.68,0.3088,1.8778,2,Far West
Salt Lake City,Utah,1882,93.93,0.2998,1.8389,2,Far West
Salt Lake City,Utah,1892,72.9,0.2733,1.6748,2,Far West
Olympia,Washington,1892,109.84,0.2545,1.6728,2,Far West
Olympia,Washington,1902,101.27,0.2223,1.4803,2,Far West
Seattle,Washington,1902,92.33,0.2172,1.4869,2,Far West
Tacoma,Washington,1892,108.61,0.255,1.6817,2,Far West
Tacoma,Washington,1902,92.37,0.2177,1.4905,2,Far West
Hartford,Connecticut,1882,36.08,1.1899,0.1789,0,Hub-Adjacent
Hartford,Connecticut,1892,28.87,1.0468,0.2035,0,Hub-Adjacent
Hartford,Connecticut,1902,27.44,0.9726,0.2159,0,Hub-Adjacent
New Haven,Connecticut,1882,36.03,1.2215,0.1626,0,Hub-Adjacent
New Haven,Connecticut,1892,28.96,1.0581,0.2442,0,Hub-Adjacent
New Haven,Connecticut,1902,25.91,1.0234,0.1888,0,Hub-Adjacent
Willimantic,Connecticut,1882,38.87,1.1158,0.2065,0,Hub-Adjacent
Willimantic,Connecticut,1892,30.43,1.0179,0.233,0,Hub-Adjacent
Willimantic,Connecticut,1902,26.74,1.0194,0.1816,0,Hub-Adjacent
Dover,Delaware,1882,33.45,1.1932,0.1908,0,Hub-Adjacent
Dover,Delaware,1892,26.02,1.2492,0.1402,0,Hub-Adjacent
Dover,Delaware,1902,23.65,1.1159,0.1644,0,Hub-Adjacent
Wilmington,Delaware,1882,30.32,1.3237,0.1312,0,Hub-Adjacent
Wilmington,Delaware,1892,26.14,1.3312,0.1209,0,Hub-Adjacent
Wilmington,Delaware,1902,22.39,1.1581,0.1492,0,Hub-Adjacent
Augusta,Maine,1882,46.86,0.9153,0.269,0,Hub-Adjacent
Portland,Maine,1882,43.57,0.9869,0.2363,0,Hub-Adjacent
Annapolis,Maryland,1882,28.49,1.3789,0.1504,0,Hub-Adjacent
Annapolis,Maryland,1892,25.81,1.2206,0.1349,0,Hub-Adjacent
Annapolis,Maryland,1902,23.44,1.1198,0.1577,0,Hub-Adjacent
Cumberland,Maryland,1882,27.9,1.2941,0.2479,0,Hub-Adjacent
Cumberland,Maryland,1892,25.11,1.1,0.2593,0,Hub-Adjacent
Cumberland,Maryland,1902,22.44,1.0088,0.2854,0,Hub-Adjacent
Springfield,Massachusetts,1882,36.22,1.1586,0.1981,0,Hub-Adjacent
Springfield,Massachusetts,1892,27.69,1.0784,0.1928,0,Hub-Adjacent
Springfield,Massachusetts,1902,26.65,1.0042,0.2044,0,Hub-Adjacent
Detroit,Michigan,1882,31.86,1.0326,0.5888,0,Hub-Adjacent
Concord,New Hampshire,1882,42.83,0.9973,0.2582,0,Hub-Adjacent
Concord,New Hampshire,1902,31.56,0.8737,0.2467,0,Hub-Adjacent
Manchester,New Hampshire,1902,35.55,0.8717,0.215,0,Hub-Adjacent
Cape May,New Jersey,1882,33.82,1.1488,0.206,0,Hub-Adjacent
Cape May,New Jersey,1892,28.82,1.0927,0.2045,0,Hub-Adjacent
Cape May,New Jersey,1902,25.33,1.0185,0.1904,0,Hub-Adjacent
Trenton,New Jersey,1882,28.66,1.3447,0.1559,0,Hub-Adjacent
Trenton,New Jersey,1892,26.32,1.187,0.2416,0,Hub-Adjacent
Trenton,New Jersey,1902,22.14,1.145,0.1683,0,Hub-Adjacent
Albany,New York,1882,33.44,1.2242,0.2093,0,Hub-Adjacent
Albany,New York,1892,27.31,1.018,0.2913,0,Hub-Adjacent
Albany,New York,1902,28.55,0.9897,0.4931,0,Hub-Adjacent
Buffalo,New York,1882,32.41,1.1255,0.3611,0,Hub-Adjacent
Rome,New York,1882,34.59,1.1354,0.2811,0,Hub-Adjacent
Rome,New York,1892,27.03,0.9504,0.3352,0,Hub-Adjacent
West Point,New York,1882,34.25,1.2892,0.1698,0,Hub-Adjacent
West Point,New York,1892,28.42,1.0558,0.1811,0,Hub-Adjacent
Westpoint,New York,1902,25.94,0.9976,0.1978,0,Hub-Adjacent
Charlotte,North Carolina,1882,39.76,1.005,0.2656,0,Hub-Adjacent
Charlotte,North Carolina,1902,32.29,0.8705,0.2317,0,Hub-Adjacent
Raleigh,North Carolina,1882,41.18,0.9598,0.2801,0,Hub-Adjacent
Raleigh,North Carolina,1902,33.0,0.852,0.2368,0,Hub-Adjacent
Wilmington,North Carolina,1882,41.4,0.9777,0.2637,0,Hub-Adjacent
Wilmington,North Carolina,1892,35.51,0.9985,0.2119,0,Hub-Adjacent
Cleveland,Ohio,1882,28.8,1.1878,0.4593,0,Hub-Adjacent
Columbus,Ohio,1882,28.37,1.1233,0.5505,0,Hub-Adjacent
Columbus,Ohio,1892,26.82,0.9933,0.5882,0,Hub-Adjacent
Toledo,Ohio,1882,30.63,1.0703,0.5983,0,Hub-Adjacent
Harrisburg,Pennsylvania,1882,27.12,1.4066,0.1627,0,Hub-Adjacent
Harrisburg,Pennsylvania,1902,21.64,1.1098,0.2124,0,Hub-Adjacent
Harrisburgh,Pennsylvania,1892,24.77,1.2021,0.1641,0,Hub-Adjacent
Scranton,Pennsylvania,1902,24.07,0.9606,0.2714,0,Hub-Adjacent
Williamsport,Pennsylvania,1882,31.04,1.1306,0.2303,0,Hub-Adjacent
Williamsport,Pennsylvania,1892,27.65,1.0272,0.2481,0,Hub-Adjacent
Williamsport,Pennsylvania,1902,24.78,0.9193,0.2906,0,Hub-Adjacent
Newport,Rhode Island,1882,40.31,1.1023,0.1907,0,Hub-Adjacent
Newport,Rhode Island,1892,33.69,0.9334,0.2586,0,Hub-Adjacent
Newport,Rhode Island,1902,35.56,0.887,0.1995,0,Hub-Adjacent
Providence,Rhode Island,1882,38.35,1.1414,0.1859,0,Hub-Adjacent
