origin_city,origin_state,destination_city,destination_state,year,current_hours,current_hhmm,other_years_median,deviation,best_candidate_hhmm,best_candidate_hours,candidate_deviation,substitution,error_type,confidence,change
Mesilla,New Mexico,Charleston,South Carolina,1882,24.0667,24:04:00,124.07,100.0033,124:04:00,124.0667,0.0033,prepend '1' to H: 24->124,missing_digit,HIGH,yes
Deadwood,Dakota,Omaha,Nebraska,1883,81.42,81:25:00,27.33,54.09,31:25:00,31.4167,4.0867,H: 81->31,8to3,HIGH,no
Deadwood,Dakota,Omaha,Nebraska,1882,81.4167,81:25:00,27.33,54.0867,31:25:00,31.4167,4.0867,H: 81->31,8to3,HIGH,no
Charleston,South Carolina,Cincinnati,Ohio,1892,89.08,89:05:00,36.665,52.415,39:05:00,39.0833,2.4183,H: 89->39,8to3,HIGH,yes
Pittsburg,Pennsylvania,Omaha,Nebraska,1902,84,84:00:00,34,50,34:00:00,34,0,H: 84->34,8to3,HIGH,yes
Pittsburg,Pennsylvania,Omaha,Nebraska,1908,34,34:00:00,84,50,84:00:00,84,0,H: 34->84,3to8,HIGH,no
Pittsburgh,Pennsylvania,Omaha,Nebraska,1892,84,84:00:00,34.25,49.75,34:00:00,34,0.25,H: 84->34,8to3,HIGH,yes
Manchester,New Hampshire,Chicago,Illinois,1902,82.25,82:15:00,32.625,49.625,32:15:00,32.25,0.375,H: 82->32,8to3,HIGH,yes
Providence,Rhode Island,Chicago,Illinois,1902,82.75,82:45:00,35.415,47.335,32:45:00,32.75,2.665,H: 82->32,8to3,HIGH,yes
Morgan City,Louisiana,Cincinnati,Ohio,1892,81.67,81:40:00,34.625,47.045,31:40:00,31.6667,2.9583,H: 81->31,8to3,HIGH,yes
Newport,Rhode Island,Chicago,Illinois,1902,85.25,85:15:00,38.2083,47.0417,35:15:00,35.25,2.9583,H: 85->35,8to3,HIGH,yes
Buffalo,New York,Charleston,South Carolina,1902,88,88:00:00,41.3316,46.6684,38:00:00,38,3.3316,H: 88->38,8to3,HIGH,yes
Huntington,West Virginia,Cincinnati,Ohio,1892,5,5:00,23.165,18.165,25:00:00,25,1.835,prepend '2' to H: 5->25,missing_digit,HIGH,no
Huntington,West Virginia,Cincinnati,Ohio,1902,5,5:00,23.165,18.165,25:00:00,25,1.835,prepend '2' to H: 5->25,missing_digit,HIGH,no
Huntington,West Virginia,Cincinnati,Ohio,1908,5,5:00,23.165,18.165,25:00:00,25,1.835,prepend '2' to H: 5->25,missing_digit,HIGH,no
Charleston,West Virginia,Cincinnati,Ohio,1892,6,6:00,22.4,16.4,26:00:00,26,3.6,prepend '2' to H: 6->26,missing_digit,HIGH,no
Charleston,West Virginia,Cincinnati,Ohio,1902,6,6:00,22.4,16.4,26:00:00,26,3.6,prepend '2' to H: 6->26,missing_digit,HIGH,no
Charleston,West Virginia,Cincinnati,Ohio,1908,6,6:00,22.4,16.4,26:00:00,26,3.6,prepend '2' to H: 6->26,missing_digit,HIGH,no
Olympia,Washington,Boston,Massachusetts,1883,295,295:00:00,116,179,,,,,unknown,HISTORICAL,
Olympia,Washington,Charleston,South Carolina,1883,304.62,304:37:00,133.17,171.45,,,,,unknown,HISTORICAL,
Olympia,Washington,New York,New York,1883,284.08,284:05:00,112.92,171.16,,,,,unknown,HISTORICAL,
Olympia,Washington,Baltimore,Maryland,1883,279.92,279:55:00,110.58,169.34,,,,,unknown,HISTORICAL,
Olympia,Washington,Philadelphia,Pennsylvania,1883,280.25,280:15:00,112.17,168.08,,,,,unknown,HISTORICAL,
Olympia,Washington,Washington,District of Columbia,1883,278.62,278:37:00,112.42,166.2,,,,,unknown,HISTORICAL,
Olympia,Washington,Chicago,Illinois,1883,252.5,252:30:00,88.25,164.25,,,,,unknown,HISTORICAL,
Olympia,Washington,Pittsburgh,Pennsylvania,1883,269.58,269:35:00,107.75,161.83,,,,,unknown,HISTORICAL,
Portland,Oregon,Charleston,South Carolina,1883,282.12,282:07:00,125.67,156.45,,,,,unknown,HISTORICAL,
Portland,Oregon,Boston,Massachusetts,1883,272.5,272:30:00,117.33,155.17,,,,,unknown,HISTORICAL,
