state,avg_hours_1882,avg_hours_1892,avg_hours_1902,abs_saved_1882_1902,pct_decline_1882_1902,pct_decline_1882_1892,pct_decline_1892_1902
Alabama,49.23,40.04,36.68,12.55,25.5,18.7,8.4
Arizona,126.82,98.0,90.7,36.11,28.5,22.7,7.4
Arkansas,54.53,47.93,46.84,7.69,14.1,12.1,2.3
California,134.14,103.07,95.94,38.2,28.5,23.2,6.9
Colorado,66.31,55.33,52.74,13.56,20.5,16.5,4.7
Connecticut,36.99,29.42,26.69,10.3,27.8,20.5,9.3
Dakota,79.42,54.56,53.48,25.94,32.7,31.3,2.0
Delaware,31.88,26.08,23.02,8.87,27.8,18.2,11.7
District of Columbia,29.87,25.94,23.14,6.73,22.5,13.2,10.8
Florida,71.85,54.86,50.48,21.37,29.7,23.6,8.0
Georgia,47.74,40.55,34.65,13.09,27.4,15.0,14.6
Illinois,36.23,32.46,30.81,5.42,15.0,10.4,5.1
Indian Territory,48.86,43.27,39.31,9.56,19.6,11.4,9.2
Indiana,32.38,29.48,27.19,5.19,16.0,9.0,7.8
Iowa,42.12,37.73,35.42,6.71,15.9,10.4,6.1
Kansas,43.78,39.91,37.51,6.27,14.3,8.8,6.0
Kentucky,36.66,32.39,30.95,5.71,15.6,11.6,4.5
Louisiana,61.56,51.07,48.16,13.39,21.8,17.0,5.7
Maine,54.46,50.5,41.17,13.29,24.4,7.3,18.5
Maryland,28.5,26.04,23.44,5.06,17.8,8.6,10.0
Massachusetts,38.23,30.55,28.58,9.65,25.2,20.1,6.4
Michigan,34.9,33.36,29.4,5.5,15.8,4.4,11.9
Minnesota,52.7,34.37,35.38,17.32,32.9,34.8,-2.9
Mississippi,54.68,47.61,45.15,9.52,17.4,12.9,5.2
Missouri,39.72,35.09,33.44,6.28,15.8,11.7,4.7
Nebraska,47.76,39.92,37.08,10.68,22.4,16.4,7.1
Nevada,107.35,90.79,85.33,22.01,20.5,15.4,6.0
New Hampshire,42.82,36.3,31.56,11.26,26.3,15.2,13.1
New Jersey,31.24,27.57,23.74,7.5,24.0,11.7,13.9
New Mexico,81.67,77.71,69.56,12.11,14.8,4.8,10.5
New York,33.41,27.52,27.14,6.26,18.7,17.6,1.4
North Carolina,40.78,38.37,32.73,8.05,19.7,5.9,14.7
Ohio,29.81,27.53,24.84,4.97,16.7,7.7,9.8
Pennsylvania,30.11,26.25,24.04,6.07,20.2,12.8,8.4
Rhode Island,39.33,32.69,34.29,5.04,12.8,16.9,-4.9
South Carolina,51.14,42.8,37.54,13.6,26.6,16.3,12.3
Tennessee,42.52,35.78,34.36,8.16,19.2,15.8,4.0
Texas,76.75,66.13,60.67,16.08,20.9,13.8,8.3
Utah,93.93,72.9,64.17,29.76,31.7,22.4,12.0
Vermont,45.28,38.39,33.07,12.21,27.0,15.2,13.9
Virginia,33.81,31.83,29.45,4.36,12.9,5.9,7.5
West Virginia,39.78,26.4,23.73,16.05,40.3,33.6,10.1
Wisconsin,40.51,33.08,31.23,9.28,22.9,18.3,5.6
